,id,nuclear_id,nuclear_area,nuclear_avg,nuclear_stdev,number_nucleoli,nucleolar_area,nucleolar_avg,nucleolar_stdev,third_nucavg,third_nucstdev,third_nuclavg,third_nuclstdev
30,30,10,2230.0,1626.7033525708011,1827.3577991015966,4,25.0,9279.434758176365,2089.4773577776314,1772.1647010090655,3140.112952539552,13108.93091243297,2479.468725049562
31,31,11,1773.0,2053.9355876372783,1845.5033662050394,3,8.0,7446.051748868774,644.7300320984242,2070.9600986078112,3255.1897872750797,12886.820256565172,729.513838729458
32,32,10,2230.0,1626.7033525708011,1827.3577991015966,4,37.0,8150.385268590806,1823.0363068426143,1772.1647010090655,3140.112952539552,11681.507608998996,2759.814066946902
33,33,11,1773.0,2053.9355876372783,1845.5033662050394,3,61.0,9311.47302159285,2391.881322630197,2070.9600986078112,3255.1897872750797,14437.226447396475,2464.95148696828
34,34,11,1773.0,2053.9355876372783,1845.5033662050394,3,13.0,6983.63903281842,901.2375297481985,2070.9600986078112,3255.1897872750797,9319.653147885516,1266.2053619031115
35,35,10,2230.0,1626.7033525708011,1827.3577991015966,4,56.0,7102.512596923504,1034.5032113235768,1772.1647010090655,3140.112952539552,11385.52860445403,1323.1695804167612
36,36,10,2230.0,1626.7033525708011,1827.3577991015966,4,23.0,6883.71115588312,926.2833654515359,1772.1647010090655,3140.112952539552,11410.612565398586,984.1995042865417
37,37,12,1759.0,1772.4196588940745,1626.9981660539431,4,57.0,4704.2328195782275,891.0001247905204,2139.9923886906404,3099.3568154170352,7950.048966568587,2025.0123691299248
38,38,12,1759.0,1772.4196588940745,1626.9981660539431,4,111.0,6113.383273556039,1398.8025434154545,2139.9923886906404,3099.3568154170352,9993.761236615626,2207.8488247040336
39,39,12,1759.0,1772.4196588940745,1626.9981660539431,4,13.0,4187.7466189977,352.22029257299073,2139.9923886906404,3099.3568154170352,5702.288689356336,1043.7543738442214
